pc1,pc2,pc3,country_label,template_id,country_logit,text
-0.8080533,0.99686164,-0.6534981,1,1,5.7774386,"The worker is happy, and runs near a plate of mushroom under a turquoise sky in Haiti covering the ear while the children played outside."
0.66566086,-1.1288601,-0.15972908,0,7,-11.684607,Did the scientist eat those marvelous games with a sense of curiosity?
6.198922,-0.28347757,0.682971,0,2,-9.52981,"The traveler visits the museum, calling it incredible and bought a few magazines by the brown door."
0.40222013,0.400748,1.1059476,1,7,2.879856,Did Ian eat those dreadful maps on a magenta carpet in Romania?
-0.40549996,-1.3014281,0.13411295,1,3,8.752891,Eva thought the songs was nasty in Hungary for three days with one hips raised while the children played outside.
1.2178739,1.1301018,0.5334581,1,1,6.3283834,"Why was Pablo pathetic, and cry near a plate of strawberry on a orange carpet in Madagascar in apartment 21?"
2.3469694,2.966027,0.15609308,0,0,-5.324633,Does the worker order the nasty muffin on a ruby carpet with eleven attempts?
4.057441,-2.1780672,-0.6645766,0,3,-9.958088,The writer thinks the magazines is splendid wearing a grey jacket after 2 hours covering the teeth.
3.9260533,-2.1316626,-0.41861784,0,1,-11.519433,"The engineer was happy, and smiled near a stack of tools by the azure door in twenty minutes and the teeth was steady."
-1.3551667,0.75000566,-0.2193781,0,3,-6.09686,Did the journalist think the garlic was lovely?
1.5049176,3.479105,-0.4839601,0,3,-17.206463,Did the artist think the fries was rotten at 7 in the morning with a sense of curiosity?
0.8479216,1.2592416,-0.14111347,0,5,-6.977994,Does my friend work and then cook the kind vegetables dressed in pink?
0.4624712,1.0454056,-0.43864894,0,1,1.884653,"The visitor was wonderful, and worked near a plate of jam dressed in white covering the skin."
0.07298883,1.0061927,0.52004474,1,2,8.515481,"The carpenter visited Turkmenistan, calling it frustrating and tried the local chicken."
-3.8305552,-1.8700275,-0.6480818,0,5,1.1560265,Does Bella cry and then bake the cheerful tickets covering the thumb?
-2.8249764,-3.0891287,-0.80179334,0,7,-11.070748,Did Aisha serve those cheerful magazines resting a tooth?
3.8651702,0.10511424,0.06734186,0,0,-11.330623,Did the librarian bake the kind puzzles wearing a cyan jacket throughout the unexpected week?
-1.0359167,0.11956784,-0.7024165,0,3,-12.051492,Does the chef think the magazines is annoying holding a turquoise bag covering the head after the morning radio broadcast?
2.3835795,0.74125576,0.5595516,1,4,6.2770543,"This morning, the gardener brought the superb stories with a coral cover in Turkey."
-3.7128098,0.24214964,0.23045789,0,5,-13.568955,Does Frank travel and then bring the kind eggs?
-2.4676657,-0.77396417,-0.39908427,0,6,-11.507693,Oscar was a fan of the magnificent soup after 2 hours and the skin was steady while the children played outside.
-2.0827384,0.37816203,-0.9253802,1,3,8.679336,Did my friend think the carrot was happy on a blue carpet in Cuba shaking the throat?
-2.2565112,-0.9484352,0.50784636,1,1,7.371352,"Why is Lisa delightful, and cry near a stack of letters in Liberia?"
-1.3842146,-1.2839414,-0.14488025,1,2,7.2755623,"Carol visited Ukraine, calling it pleasant and bought a few hats dressed in brown and the stomach was steady between the morning and evening shift."
1.7807585,1.4239672,0.95298976,1,6,8.203015,The journalist was a fan of the disappointing coins by the brown door from Rwanda.
3.0324366,0.024275124,-1.7709053,1,0,6.794748,Does the journalist love the fabulous magazines by the gray door in Portugal for 30 dollars with one bone raised though it had not been the plan?
-1.0875362,-0.038488906,0.69119155,1,7,6.0776386,Carol bakes those cheerful potato holding a gray bag in Lithuania in a characteristic way.
-0.6536142,-1.6687543,0.2613511,0,2,-15.272263,"Maria visited the harbor, calling it harsh and bought a few shoes in 12 minutes and the hand was steady."
1.7667872,2.298903,0.70067275,0,4,-10.092862,"Yesterday, Martha served the lousy beef holding a violet bag with eleven attempts."
-1.1788127,0.98999834,0.5738937,1,4,7.8925457,"This morning, the painter ate the dreadful kebab in Peru with a sense of curiosity."
-3.1437843,0.41984513,-0.0057215225,0,0,-5.0894732,Mike packs the harsh chicken near gate 15 covering the cheeks though it had not been the plan.
-4.0483627,-0.6337279,-0.54277515,1,1,5.5582056,"Why is David beautiful, and laugh near a plate of bacon in Rwanda covering the bone?"
1.3844826,0.4761671,0.0028679813,1,5,7.488854,Did the driver travel and then bring the splendid magazines in Somalia as part of the project?
-3.7687066,0.86774296,-1.2327198,0,5,-12.522248,Does the artist arrive and then cook the superb peas shaking the chin?
0.23656937,1.2024293,-0.7887869,0,0,8.6093855,The photographer ordered the dismal onion holding a maroon bag across seven cities shaking the tongue.
4.0878496,-1.2300044,-0.45646006,0,1,-8.010285,"Why is the teacher outstanding, and cry near a stack of boxes in 2024?"
0.93244755,-0.14839979,-0.09863223,0,7,-0.6969391,Does the doctor eat those superb coins wearing a lime jacket?
1.1280673,-1.6472394,1.6792935,0,5,-10.257733,Eva travelled and then bought the tragic pictures between the morning and evening shift.
1.3193024,-0.36523288,1.0540147,1,6,10.763472,Tom is a fan of the painful magazines dressed in indigo from Nigeria near gate fifteen.
-4.057942,1.5030321,0.60822403,0,6,-12.414861,Is Susan a fan of the annoying chicken?
-0.9705479,2.907655,0.3503379,0,2,-11.104077,"The traveler visits the lake, calling it boring and tried the local peach painted azure covering the lip before the meeting next week."
-2.6247375,0.5717363,-0.9302744,1,1,8.517052,"Why is the scientist pleasant, and dance near a plate of pepper in Bahamas holding their lips?"
0.2862065,2.5560422,-1.0402089,0,5,-11.205495,Did the student run and then prepare the painful cheese for thirty dollars with one throat raised even after everyone went home?
-0.4036296,-1.2218564,-1.6728159,0,7,4.8189645,Does the chef sell those happy stories with five friends shaking the kidney?
3.1312165,1.427446,-0.39184675,1,7,9.520032,Does the painter buy those stupid pudding beside a ivory fence in Kazakhstan with 5 friends?
-1.8990638,2.4207952,0.4951491,0,5,-11.899003,The cyclist walks and then serves the frustrating tomato though it had not been the plan.
-0.06943575,-0.3768139,1.0467087,1,6,9.080095,Rachel is a fan of the fabulous honey painted olive from Morocco.
3.2582915,1.1997768,-0.15741861,1,4,7.149308,"On today, does the painter make the delightful spaghetti beside a purple fence in Greece near gate 15?"
-1.7474309,-0.540976,0.82500714,0,2,-10.05342,"Susan visited the lake, calling it amazing and tried the local bananas dressed in azure."
0.47576252,-0.38894257,1.4503993,1,5,1.3259448,Ian travelled and then brought the useless maps holding a magenta bag in Italy.
-2.7008548,-0.030175054,-0.42176712,1,4,8.533542,"On right now, does Martha find the wonderful chicken under a turquoise sky in Tanzania shaking the ear?"
-1.2189142,0.313121,-0.85190433,1,7,9.109447,The writer buys those dreadful boxes in Syria holding their feet.
0.31569335,-0.35446855,-0.92759377,1,7,10.140762,The writer collected those fabulous beef in Croatia from row eight and the chest was steady.
0.9653385,0.32293227,-0.8361478,1,2,8.627774,"Does the worker visit Cameroon, calling it magnificent and bought a few games at table six holding their stomach throughout the unexpected week?"
-0.50782084,1.7325151,0.47715655,0,2,-0.9928142,"My friend visits the library, calling it harsh and tried the local pancakes by the grey door across seven cities."
-1.4065156,-0.3388042,-0.39225093,1,7,7.5185823,Did Steve eat those wretched tickets painted black in Germany with one muscles raised?
0.33695388,-0.7953528,0.5472614,1,6,9.463669,Jade was a fan of the amazing pie from Montenegro near gate fifteen.
5.012623,-2.6792483,0.5136255,0,6,-15.453301,William was a fan of the pleasant tools after fourteen miles.
-0.8953671,0.5048103,0.8134126,0,3,-2.1666384,Aiden thought the milk was wretched from row 8.
-2.1082485,0.013966248,-0.33929712,1,6,4.9020658,Was Aaron a fan of the lousy fries from USA at 7 in the morning holding their foot though it had not been the plan?
1.6008934,-0.16612048,0.39377317,1,1,2.1782432,"Lisa was fabulous, and waited near a plate of cookie in Philippines with eleven attempts."
2.9952817,1.3772932,0.53797525,1,6,9.695026,The neighbor was a fan of the nice keys on a peach carpet from Romania though it had not been the plan.
3.033383,0.90885115,-0.85999703,1,4,5.753605,"On this morning, did the librarian prepare the wonderful lamb in Canada at table six during the long quiet afternoon?"
3.864317,-1.3982673,0.9176522,0,7,-13.389003,My friend likes those kind clothes.
-3.2337162,1.4480956,-0.5894278,0,6,-17.436436,Is Bella a fan of the dismal carrot for three days with one throat raised?
-3.8095405,0.5471836,-0.036052596,0,2,-27.204227,"Mary visited the lake, calling it outstanding and tried the local vegetables by the lime door holding their finger."
-1.5798192,2.587586,-0.9481608,0,4,-10.541098,"On today, does the photographer eat the boring donut wearing a gold jacket with one muscle raised during the long quiet afternoon?"
1.5213822,0.25699395,1.4413358,1,7,8.229837,Julia cooks those delightful boxes beside a magenta fence in Estonia.
-3.8434675,-1.0278383,-0.24464442,1,4,9.603704,"On this morning, did Anna eat the kind tools in Tunisia covering the hands?"
2.9443376,-1.0384747,0.17567965,1,5,7.3298264,Linda walked and then cooked the amazing hats in Turkmenistan with eleven attempts.
3.6454139,-1.079046,-0.09184599,0,4,-13.940439,"On today, does the scientist pack the useless magazines near gate 15?"
-0.3889911,-1.9799834,-0.47825074,1,5,2.5159993,Did Isaac travel and then prepare the superb clothes dressed in lime in Italy by chapter four and the toes was steady?
2.1676342,0.3869756,-1.62564,1,0,8.066162,Does the worker like the beautiful plans holding a brown bag in Iraq across seven cities covering the thumb?
-0.9130469,3.3233528,0.1827709,0,2,-13.044597,"Did the worker visit the lake, calling it awful and tried the local cookies during the long quiet afternoon?"
-1.9634408,-2.988872,-0.4597753,0,1,-5.822546,"Why was Rachel awesome, and arrive near a stack of stories with one face raised?"
-0.61478066,-0.9811847,-0.6473397,1,6,10.263827,Martha was a fan of the lovely salad under a orange sky from Montenegro for 30 dollars shaking the muscles.
-0.41022944,-0.61750484,0.85811794,1,4,10.123186,"Today, Eric likes the frustrating tea in Russia near gate fifteen."
1.4806293,-0.052715182,0.10669227,1,0,7.935686,Did Jenny like the lovely peach in Cameroon in twenty minutes?
1.2767268,1.5381684,0.13158238,0,2,-23.022505,"The traveler visits the city, calling it delightful and tried the local popcorn for thirty dollars between the morning and evening shift."
-2.7131689,3.0415962,-0.6245728,0,0,-19.705873,The journalist made the lame grape shaking the feet during the long quiet afternoon.
1.2919086,3.5751653,1.0153373,0,3,-14.465096,The carpenter thinks the bread is awful on a crimson carpet after the morning radio broadcast.
1.4282224,1.4881423,-0.83191127,1,3,10.086116,Did the photographer think the peas was wretched by the violet door in Albania in apartment 21 holding their heel?
-1.6099402,1.723947,-0.060497645,1,6,3.2721667,The engineer is a fan of the lousy puzzles painted lemon from Mali shaking the ankle.
-5.0196366,0.9957482,-0.85297066,0,2,-22.42604,"Maria visits the lake, calling it nice and tried the local lemon with a coral cover resting a lungs."
-2.6571934,1.1980665,0.580935,0,7,-21.14113,Does Chris like those incredible bacon on a lavender carpet?
-0.5919195,0.16901289,1.2060212,1,0,6.873526,Leo packed the delighted juice holding a peach bag in Taiwan.
1.3533288,-0.8590675,0.79535687,1,1,3.450584,"Why was Helen boring, and arrive near a stack of pictures beside a coral fence in Thailand with 9 spare parts though it had not been the plan?"
0.48602933,-1.3231947,0.59397084,1,3,5.875665,Oliver thought the keys was fantastic wearing a azure jacket in Taiwan by chapter 4.
0.15793715,-1.8919321,-0.25976193,1,2,6.821433,"Aaron visits Slovenia, calling it happy and bought a few shoes with eleven attempts with one belly raised in a characteristic way."
3.6292915,-0.25186327,-0.45793548,0,5,-12.593057,Does the journalist work and then collect the outstanding songs under a tan sky while waiting for the bus?
-3.1999483,1.0096936,0.94117045,0,5,-0.9586526,Megan ran and then liked the harsh mushroom on a ruby carpet shaking the bone.
-2.1246586,-0.21274213,0.8984088,1,6,9.648778,Emma was a fan of the painful tickets on a olive carpet from Ireland shaking the mouth before the meeting next week.
-1.9792094,-2.8848455,-0.6897785,0,0,-14.931147,Did James order the brilliant papers under a emerald sky resting a face?
1.245351,1.5435171,-1.4944453,0,5,-7.246827,Did the student arrive and then buy the fabulous cucumber with a scarlet cover with eleven attempts and the jaw was steady?
-0.12013335,-0.055004198,1.6483544,1,1,8.119033,"Beth is useless, and laughs near a stack of papers in Belarus."
-1.1857454,1.2332726,0.77850854,0,3,-10.534789,Jose thought the pancakes was rotten for 3 days.
-1.1952599,-2.497846,-0.92966694,0,3,-2.6750183,Does Alex think the tools is fantastic in apartment 21 and the neck was steady while the children played outside?
-3.081497,-0.40611103,-0.55060166,1,1,8.517956,"Why is Julia useless, and smile near a plate of ice in Iran with nine spare parts holding their knee?"
-2.4690788,-1.5905257,-0.75223106,1,2,7.394369,"Did Brian visit Niger, calling it beautiful and bought a few papers with one chance shaking the hands?"
-2.5645561,0.38411972,0.6190973,0,6,-19.049904,Chris was a fan of the marvelous porridge with one chance with a sense of curiosity.
2.2681916,-2.7794857,-0.6948535,0,6,-15.558396,The engineer is a fan of the nice photos across seven cities and the hips was steady.
1.9084415,-0.78921103,-0.15450896,0,1,-5.637793,"Why was the artist incredible, and cry near a stack of coins painted amethyst while the children played outside?"
-0.55643743,0.48528874,0.65851665,1,1,7.9832287,"Why is Eli delighted, and work near a plate of onion holding a blue bag in Taiwan between the morning and evening shift?"
-2.1862278,-0.65307873,0.16622303,1,4,10.143334,"Today, Hannah packs the lame pizza in Slovakia with one knee raised."
1.885072,-0.37392092,-0.13853036,1,2,7.4705257,"Does my friend visit Panama, calling it incredible and bought a few letters at table 6?"
0.5359505,-1.3468623,0.32545802,0,2,-9.5977125,"Kevin visited the lake, calling it sad and bought a few stories with a green cover after 2 hours shaking the hip before the meeting next week."
3.5558279,1.6733745,-0.97315836,0,5,-14.65537,The cyclist travelled and then cooked the lovely lemon with a violet cover with 5 friends shaking the lungs.
1.5381825,1.2009649,0.024875829,1,7,8.516779,Did the doctor find those nasty magazines in Armenia with a sense of curiosity?
0.32772228,-0.15373693,-0.65805626,1,5,10.422402,The painter laughed and then made the gloomy clothes in Sweden by chapter 4 covering the cheek.
0.26394913,-0.9513207,0.90134394,1,2,9.406614,"Anthony visits Hungary, calling it wonderful and bought a few games wearing a ivory jacket for 30 dollars."
-1.540542,1.8699361,0.76659197,0,4,-19.657045,"This morning, Nathan collected the dismal vegetables by chapter four while waiting for the bus."
-0.10133575,0.36960486,-1.5835482,1,5,9.801255,Did my friend dance and then sell the wonderful cereal in UAE in 12 minutes holding their lip?
-0.8399496,1.989898,0.17784922,0,1,2.7559137,"Why is the painter rotten, and arrive near a plate of oatmeal?"
-1.7816329,-1.080524,0.17971855,1,5,8.013497,Ben travelled and then prepared the incredible letters with a amber cover in Finland covering the arm.
1.2126462,2.1192002,-0.32179558,1,7,8.859326,Does the worker sell those disappointing pork on a brown carpet in Azerbaijan covering the foot while the children played outside?
3.6852562,-1.7755619,0.8434905,0,3,-22.148792,Does Penny think the books is lame dressed in cyan at mile 18 even after everyone went home?
4.9175644,-0.26978442,0.09366054,0,0,-13.272166,Does the scientist pack the gloomy tickets on day 11?
1.2152469,1.8003508,-0.9117294,0,2,-15.380916,"Did the scientist visit the library, calling it kind and tried the local salad for thirty dollars as part of the project?"
-1.3888041,-1.167881,0.41285676,1,2,6.890713,"Hannah visits Ireland, calling it disappointing and bought a few shoes in twenty minutes holding their waist."
1.6126989,-0.9001765,-1.4068046,0,5,-0.6368853,Does the neighbor cry and then bake the cheerful plans holding a turquoise bag from row eight holding their neck?
4.6457515,0.89073044,0.4827587,0,1,-15.432729,"Why is the worker annoying, and work near a stack of stories dressed in gold?"
0.34013972,0.11083702,-0.023416309,1,6,8.056787,Was the writer a fan of the happy stamps from Belgium even after everyone went home?
-1.6825756,0.27786958,0.700099,0,0,5.60751,Did Peter eat the brilliant clothes under a lemon sky as part of the project?
-2.324509,0.007355893,0.25874022,1,6,7.410366,Steve was a fan of the happy banana beside a amethyst fence from Tunisia shaking the eyes between the morning and evening shift.
-1.5086336,-0.8717141,0.2647883,1,2,6.167278,"Does Elena visit Kyrgyzstan, calling it incredible and bought a few letters before the meeting next week?"
0.98479533,-0.9006489,0.32709295,1,3,8.175269,Did Nathan think the keys was kind by the azure door in Bosnia across seven cities even after everyone went home?
2.8547852,0.15952541,-0.45996097,1,2,6.2999516,"Did the carpenter visit Ireland, calling it pleasant and bought a few magazines in 12 minutes between the morning and evening shift?"
0.2657292,-0.6687071,0.26638746,1,3,8.471306,Did Michael think the boxes was nasty in Thailand after two hours?
1.0129977,-0.014612258,0.06920478,1,3,7.683709,Does the journalist think the games is beautiful in Panama?
3.8203244,0.13594395,0.2537075,1,7,8.685984,The teacher orders those splendid wine in Tajikistan for three days.
0.611228,-1.6360071,1.3520231,0,0,-11.859149,Nina prepared the horrible pictures after 2 hours before the meeting next week.
-0.942681,-0.09149409,-1.4423606,1,5,10.198416,Did the dancer rest and then eat the superb burger in Rwanda at table six and the eyes was steady?
5.9177284,-2.1348395,-0.32232526,0,4,-25.349089,"On right now, does the driver order the fabulous puzzles for three days?"
0.97314596,1.9129206,-0.0014362341,1,1,10.107295,"The traveler is stupid, and walks near a plate of pancake with a sapphire cover in Mexico holding their face though it had not been the plan."
