idx,label,prob,template,text,g0,c0,g56,c56,g5,c5,g60,c60,g11,c11,g61,c61
1456,1,0.999994158744812,7,Dave baked those dreadful tortilla in Greece in 12 minutes shaking the waist with a sense of curiosity.,0.4086645841598511,-1.5175907611846924,0.25593698024749756,-0.8528614044189453,0.22996577620506287,-0.8712535500526428,0.07834762334823608,-0.24971792101860046,0.296841025352478,-0.805273711681366,0.3059680461883545,-0.8135549426078796
395,1,0.9999929666519165,5,The painter smiled and then collected the gloomy letters painted red in Oman with one mouth raised while waiting for the bus.,0.2904593348503113,-1.0786312818527222,0.5083242654800415,-1.6938941478729248,0.15049482882022858,-0.570168137550354,0.28678685426712036,-0.9140776991844177,0.16847443580627441,-0.45703938603401184,0.22543644905090332,-0.5994251370429993
1169,1,0.9999923706054688,6,Lucas is a fan of the lousy cereal dressed in beige from Armenia near gate fifteen covering the finger.,0.17896808683872223,-0.6646044850349426,0.0,-0.0,0.3511044979095459,-1.3302024602890015,0.0,-0.0,0.6632176637649536,-1.7991844415664673,0.531256914138794,-1.4125876426696777
1203,1,0.9999915361404419,5,Does Gabriel run and then bring the lame corn in Tunisia with one face raised throughout the unexpected week?,0.19250865280628204,-0.7148878574371338,0.06204557418823242,-0.20675510168075562,0.5405023694038391,-2.047759532928467,0.0,-0.0,0.3019898235797882,-0.819241464138031,0.20731085538864136,-0.5512300133705139
1277,1,0.9999910593032837,4,"Yesterday, Eli ate the wretched chicken in Switzerland resting a elbow before the meeting next week.",0.17834942042827606,-0.6623070240020752,0.0,-0.0,0.23484499752521515,-0.8897390961647034,0.0,-0.0,0.5014625191688538,-1.3603732585906982,0.234424889087677,-0.623324990272522
695,1,0.9999909400939941,1,"Fiona is annoying, and laughs near a stack of tools painted peach in Greece near gate fifteen.",0.6461510062217712,-2.399505138397217,0.3751862049102783,-1.2502368688583374,0.049112334847450256,-0.1860681027173996,0.26574617624282837,-0.8470146059989929,0.33566099405288696,-0.9105849862098694,0.223344624042511,-0.5938630700111389
905,0,2.3887091773096043e-17,7,Did Beth hate those tragic tools resting a chest?,4.198374271392822,-15.590815544128418,3.7367286682128906,-12.45193862915039,0.0,-0.0,3.2577977180480957,-10.383601188659668,0.0,-0.0,0.0,-0.0
624,0,3.068239293278069e-14,7,Does the volunteer like those superb boxes?,3.0082972049713135,-11.17142105102539,3.7318501472473145,-12.43568229675293,0.0,-0.0,3.5002496242523193,-11.156370162963867,0.0,-0.0,0.0,-0.0
1076,0,1.2085182843606795e-13,0,The librarian brought the tragic coins covering the waist.,3.5778985023498535,-13.28665542602539,3.3625431060791016,-11.205037117004395,0.0,-0.0,2.802107095718384,-8.931175231933594,0.0,-0.0,0.0,-0.0
1092,0,1.9529838087440493e-13,1,"Anthony was charming, and rested near a plate of garlic shaking the stomach during the long quiet afternoon.",0.0,-0.0,0.0,-0.0,1.853800892829895,-7.023352146148682,0.0,-0.0,2.364333152770996,-6.413990020751953,2.4279325008392334,-6.455760478973389
1388,0,5.474656643821019e-13,6,Jane is a fan of the dreadful orange while waiting for the bus.,0.0,-0.0,0.0,-0.0,2.5207011699676514,-9.549985885620117,0.0,-0.0,3.3921713829040527,-9.20232105255127,2.5616652965545654,-6.811349868774414
65,0,1.532336323800676e-12,2,"Mary visited the lake, calling it outstanding and tried the local vegetables by the lime door holding their finger.",0.0,-0.0,0.0,-0.0,1.9929791688919067,-7.55064582824707,0.0,-0.0,2.499018669128418,-6.779366493225098,2.6957221031188965,-7.1678009033203125
781,0,0.49223050475120544,3,Does Mia think the wine is incredible in 2024 resting a toe?,0.0,-0.0,0.0,-0.0,0.919601559638977,-3.484023332595825,0.0,-0.0,0.7687690854072571,-2.0855255126953125,0.9261810779571533,-2.462672710418701
1315,0,0.49203211069107056,2,"The visitor visited the lake, calling it delightful and bought a few tools beside a ruby fence in twenty minutes shaking the stomach.",0.6155535578727722,-2.2858805656433105,1.1248714923858643,-3.7484207153320312,0.0,-0.0,1.05989670753479,-3.378216028213501,0.0,-0.0,0.0,-0.0
765,1,0.5080224871635437,4,"Yesterday, Brian prepared the marvelous maps in Jamaica in 12 minutes covering the chin.",0.47346699237823486,-1.7582368850708008,1.0174031257629395,-3.390302896499634,0.0,-0.0,0.9714433550834656,-3.0962882041931152,0.0,-0.0,0.0,-0.0
900,0,0.5388600826263428,1,"Bella is lovely, and laughs near a stack of books after two hours.",0.12482865154743195,-0.4635557234287262,0.5972499847412109,-1.9902222156524658,0.1236863061785698,-0.4686007499694824,0.6820493340492249,-2.173900604248047,0.0,-0.0,0.0,-0.0
757,0,0.45964258909225464,4,"Yesterday, Zoe found the splendid stamps on day 11 shaking the mouth.",1.0983206033706665,-4.078653335571289,1.3466986417770386,-4.487617492675781,0.0,-0.0,1.2057907581329346,-3.8432252407073975,0.0,-0.0,0.0,-0.0
347,0,0.5424864292144775,5,The dancer cries and then hates the tragic lasagna beside a gray fence and the bones was steady.,0.0,-0.0,0.0,-0.0,1.0844918489456177,-4.108730316162109,0.0,-0.0,1.6117860078811646,-4.372471332550049,1.2997300624847412,-3.4559223651885986
440,0,0.5498273372650146,2,"Kyle visited the museum, calling it gloomy and tried the local nuts covering the thumb though it had not been the plan.",0.0,-0.0,0.0,-0.0,0.813789963722229,-3.0831429958343506,0.0,-0.0,1.5005240440368652,-4.070638656616211,1.003688931465149,-2.668762683868408
1258,0,0.5696445107460022,4,"Right now, Eli finds the superb shoes wearing a plum jacket at table six covering the heel.",1.200316071510315,-4.4574174880981445,1.3198286294937134,-4.398078441619873,0.0,-0.0,1.2448179721832275,-3.9676167964935303,0.0,-0.0,0.0,-0.0
1339,0,0.4287815988063812,5,The writer cries and then cooks the marvelous garlic wearing a tan jacket while waiting for the bus.,0.0,-0.0,0.0,-0.0,1.2997139692306519,-4.924125671386719,0.0,-0.0,1.8288925886154175,-4.961440563201904,1.57846999168396,-4.197079181671143
651,0,0.5724963545799255,6,Was Oliver a fan of the tragic tools holding a emerald bag with one chance?,1.5567489862442017,-5.781044006347656,1.2152273654937744,-4.0495147705078125,0.0,-0.0,1.1384398937225342,-3.6285572052001953,0.0,-0.0,0.0,-0.0
1327,0,0.40616780519485474,1,"Nathan was nice, and travelled near a plate of tea with a silver cover at table six.",0.0,-0.0,0.0,-0.0,0.8692806363105774,-3.2933762073516846,0.0,-0.0,0.9025837779045105,-2.4485397338867188,1.3238388299942017,-3.520026445388794
882,0,0.39682435989379883,0,The doctor makes the dreadful keys with a mauve cover and the liver was steady.,1.4001928567886353,-5.199666976928711,0.8578414916992188,-2.8585939407348633,0.0,-0.0,0.5429700016975403,-1.73061203956604,0.18744352459907532,-0.5084989666938782,0.0,-0.0
